Name                                         Stars  OpenIssues  Updated                      Description
siduck76/NvChad                              18217  0           2023-07-08T23:39:33Z         Blazing fast Neovim config providing solid defaults and a beautiful UI, enhancing your neovim experience.                                                                                                                          
LunarVim/LunarVim                            15239  78          2023-07-13T06:40:05Z         🌙 LunarVim is an IDE layer for Neovim. Completely free and community driven.                                                                                                                                                       
nvim-telescope/telescope.nvim                10608  262         2023-07-06T22:30:43Z         Find, Filter, Preview, Pick. All lua, all the time.                                                                                                                                                                                
AstroNvim/AstroNvim                          9935   2           2023-07-11T15:16:28Z         AstroNvim is an aesthetic and feature-rich neovim config that is extensible and easy to use with a great set of plugins
neovim/nvim-lspconfig                        7742   49          2023-07-13T06:12:51Z         Quickstart configs for Nvim LSP
nvim-treesitter/nvim-treesitter              7235   287         2023-07-13T06:56:02Z         Nvim Treesitter configurations and abstraction layer
wbthomason/packer.nvim                       6730   306         2023-01-11T23:52:42Z         A use-package inspired plugin manager for Neovim. Uses native packages, supports Luarocks dependencies, written in Lua, allows for expressive config
nvim-lua/kickstart.nvim                      5932   2           2023-07-07T18:08:35Z         A launch point for your personal nvim configuration
LazyVim/LazyVim                              5822   4           2023-07-13T06:21:44Z         Neovim config for the lazy
folke/lazy.nvim                              5795   8           2023-07-12T15:24:07Z         💤 A modern plugin manager for Neovim
hrsh7th/nvim-cmp                             5527   141         2023-07-10T04:57:29Z         A completion plugin for neovim coded in Lua.                                                                                                                                                                                       
nanotee/nvim-lua-guide                       5421   18          2022-12-19T22:11:50Z         A guide to using Lua in Neovim
kyazdani42/nvim-tree.lua                     5232   58          2023-07-09T03:49:41Z         A file explorer tree for neovim written in lua
iamcco/markdown-preview.nvim                 5009   193         2022-05-13T13:20:59Z         markdown preview plugin for (neo)vim
williamboman/mason.nvim                      4854   82          2023-07-04T10:31:01Z         Portable package manager for Neovim that runs everywhere Neovim runs. Easily install and manage LSP servers, DAP servers, linters, and formatters.                                                                                 
nvim-neorg/neorg                             4113   95          2023-07-09T16:15:59Z         Modernity meets insane extensibility. The future of organizing your life in Neovim.                                                                                                                                                
nvim-lualine/lualine.nvim                    4057   128         2023-05-04T15:17:02Z         A blazing fast and easy to configure neovim statusline plugin written in pure lua.                                                                                                                                                 
folke/tokyonight.nvim                        3854   34          2023-07-05T09:46:01Z         🏙  A clean, dark Neovim theme written in Lua, with support for lsp, treesitter and lots of plugins. Includes additional themes for Kitty, Alacritty, iTerm and Fish.                                                               
mfussenegger/nvim-dap                        3566   30          2023-07-09T12:45:48Z         Debug Adapter Protocol client implementation for Neovim
folke/trouble.nvim                           3378   101         2023-06-24T08:21:29Z         🚦 A pretty diagnostics, references, telescope results, quickfix and location list to help you solve all the trouble your code is causing.                                                                                          
lewis6991/gitsigns.nvim                      3294   62          2023-07-13T09:14:08Z         Git integration for buffers
ggandor/leap.nvim                            3186   30          2023-07-13T07:36:33Z         Neovim's answer to the mouse 🦘                                                                                                                                                                                                     
folke/which-key.nvim                         3168   127         2023-06-19T13:11:54Z         💥   Create key bindings that stick. WhichKey is a lua plugin for Neovim 0.5 that displays a popup with possible keybindings of the command you started typing.                                                                     
ms-jpq/coq_nvim                              3074   135         2023-07-13T06:32:26Z         Fast as FUCK nvim completion. SQLite, concurrent scheduler, hundreds of hours of optimization.                                                                                                                                     
catppuccin/nvim                              3058   3           2023-07-11T11:36:30Z         🍨 Soothing pastel theme for (Neo)vim
justinmk/vim-sneak                           3003   24          2023-07-12T17:40:14Z         The missing motion for Vim :athletic_shoe:                                                                                                                                                                                         
ThePrimeagen/harpoon                         2890   112         2023-05-28T23:01:40Z
lukas-reineke/indent-blankline.nvim          2889   45          2023-07-07T11:03:50Z         Indent guides  for Neovim
glepnir/lspsaga.nvim                         2885   1           2023-07-13T11:39:48Z         improve neovim lsp experience
akinsho/nvim-toggleterm.lua                  2773   34          2023-07-10T08:28:17Z         A neovim lua plugin to help easily manage multiple terminal windows
rebelot/kanagawa.nvim                        2656   26          2023-06-21T08:08:48Z         NeoVim dark colorscheme inspired by the colors of the famous painting by Katsushika Hokusai.                                                                                                                                       
akinsho/bufferline.nvim                      2539   25          2023-07-10T09:25:21Z         A snazzy bufferline for Neovim
folke/noice.nvim                             2523   26          2023-07-01T06:51:38Z         💥 Highly experimental plugin that completely replaces the UI for messages, cmdline and the popupmenu.                                                                                                                              
numToStr/Comment.nvim                        2518   28          2023-06-12T05:10:03Z         :brain: :muscle: // Smart and powerful comment plugin for neovim. Supports treesitter, dot repeat, left-right/up-down motions, hooks, and more
echasnovski/mini.nvim                        2449   7           2023-07-11T14:57:59Z         Library of 30+ independent Lua modules improving overall Neovim (version 0.7 and higher) experience with minimal effort
sindrets/diffview.nvim                       2433   30          2023-07-08T13:33:03Z         Single tabpage interface for easily cycling through diffs for all modified files for any git rev.                                                                                                                                  
nvim-orgmode/orgmode                         2271   125         2023-07-04T13:31:39Z         Orgmode clone written in Lua for Neovim 0.8+.                                                                                                                                                                                      
EdenEast/nightfox.nvim                       2250   11          2023-05-12T14:33:18Z         🦊A highly customizable theme for vim and neovim with support for lsp, treesitter and a variety of plugins.                                                                                                                         
TimUntersberger/neogit                       2237   130         2023-07-13T12:23:23Z         magit for neovim
phaazon/hop.nvim                             2225   77          2023-05-17T14:01:06Z         Neovim motions on speed!                                                                                                                                                                                                           
rcarriga/nvim-notify                         2179   28          2023-06-05T15:25:36Z         A fancy, configurable, notification manager for NeoVim
windwp/nvim-autopairs                        2157   15          2023-07-13T11:25:11Z         autopairs for neovim written by lua
L3MON4D3/LuaSnip                             2137   53          2023-07-10T08:20:53Z         Snippet Engine for Neovim written in Lua.                                                                                                                                                                                          
sainnhe/everforest                           1988   3           2023-05-19T07:05:55Z         🌲 Comfortable & Pleasant Color Scheme for Vim
folke/todo-comments.nvim                     1902   54          2023-05-22T14:34:33Z         ✅  Highlight, list and search todo comments in your projects
simrat39/rust-tools.nvim                     1866   102         2023-07-10T23:53:06Z         Tools for better development in rust using neovim's builtin lsp
kylechui/nvim-surround                       1813   14          2023-05-30T16:32:07Z         Add/change/delete surrounding delimiter pairs with ease. Written with :heart: in Lua.                                                                                                                                              
nvim-neo-tree/neo-tree.nvim                  1798   112         2023-07-03T03:49:12Z         Neovim plugin to manage the file system and other tree like structures.                                                                                                                                                            
sbdchd/neoformat                             1794   123         2023-07-01T19:20:40Z         :sparkles: A (Neo)vim plugin for formatting code.                                                                                                                                                                                  
